
f(x) = x*log(x/3)-x
Xi = 1.5
Xf = 20.1
errto = 1e-005
imax = 25


Numero de
Iteracion            Xi              Xf   |            Raiz               Error      Tolerancia           f(Raiz)
   1               1.5              20.1  |            10.8                   100    1e-005         3.0340855309903
   2               1.5              10.8  |            6.15       75.609756097561    1e-005        -1.7352852721256
   3              6.15              10.8  |           8.475       27.433628318584    1e-005        0.32635838997148
   4              6.15             8.475  |          7.3125       15.897435897436    1e-005       -0.79726049405536
   5            7.3125             8.475  |         7.89375       7.3634204275534    1e-005       -0.25687037312172
   6           7.89375             8.475  |        8.184375       3.5509736540664    1e-005       0.029582914875091
   7           7.89375          8.184375  |       8.0390625       1.8075801749271    1e-005       -0.11495712062136
   8         8.0390625          8.184375  |      8.11171875      0.89569488587114    1e-005      -0.043012496381861
   9        8.11171875          8.184375  |     8.148046875      0.44585071192291    1e-005     -0.0067957756236616
  10       8.148046875          8.184375  |    8.1662109375      0.22242950419745    1e-005       0.011373368491974
  11       8.148046875      8.1662109375  |   8.15712890625      0.11133857702115    1e-005      0.0022837405309328
  12       8.148046875     8.15712890625  |  8.152587890625     0.055700296469316    1e-005     -0.0022572822260134
  13    8.152587890625     8.15712890625  | 8.1548583984375     0.027842394086633    1e-005    1.2913070587928e-005
  14    8.152587890625   8.1548583984375  | 8.1537231445313     0.013923135310412    1e-005      -0.001122263609183
  15   8.1537231445313   8.1548583984375  | 8.1542907714844    0.0069610830546942    1e-005    -0.00055469502578731
  16   8.1542907714844   8.1548583984375  | 8.1545745849609    0.0034804203898701    1e-005    -0.00027089591655205
  17   8.1545745849609   8.1548583984375  | 8.1547164916992    0.0017401799121468    1e-005    -0.00012899265770017
  18   8.1547164916992   8.1548583984375  | 8.1547874450684    0.0008700823855794    1e-005   -5.8040102230095e-005
  19   8.1547874450684   8.1548583984375  | 8.1548229217529   0.00043503930018954    1e-005   -2.2563592988689e-005
  20   8.1548229217529   8.1548583984375  | 8.1548406600952   0.00021751917694237    1e-005   -4.8252804933924e-006
  21   8.1548406600952   8.1548583984375  | 8.1548495292664   0.00010875947018483    1e-005     4.043890225347e-006
  22   8.1548406600952   8.1548495292664  | 8.1548450946808  5.4379764658543e-005    1e-005   -3.9069634105715e-007
  23   8.1548450946808   8.1548495292664  | 8.1548473119736  2.7189874930931e-005    1e-005    1.8265966410524e-006
  24   8.1548450946808   8.1548473119736  | 8.1548462033272  1.3594939313689e-005    1e-005    7.1795007450248e-007
  25   8.1548450946808   8.1548462033272  |  8.154845649004  6.7974701189004e-006    1e-005     1.636268489591e-007

La raíz aproximada es: 8.154845649004

